,allow_self_parent,attractor_state_percentage,dataset_filepath,dataset_id,graph_filepath,graph_id,n_nodes,n_trajectories,network_seed,sampling_frequency,sync,trajectory_len,trajectory_seed
147,False,0.7142857142857143,example_datasets/datasets/D147.txt,147,example_datasets/graphs/G9.txt,9,11,1,0,3,True,20,0
148,False,0.9603960396039604,example_datasets/datasets/D148.txt,148,example_datasets/graphs/G9.txt,9,11,1,0,1,True,100,0
149,False,0.9411764705882353,example_datasets/datasets/D149.txt,149,example_datasets/graphs/G9.txt,9,11,1,0,3,True,100,0
150,False,0.4666666666666667,example_datasets/datasets/D150.txt,150,example_datasets/graphs/G9.txt,9,11,5,0,1,True,5,0
151,False,0.4,example_datasets/datasets/D151.txt,151,example_datasets/graphs/G9.txt,9,11,5,0,3,True,5,0
152,False,0.8761904761904762,example_datasets/datasets/D152.txt,152,example_datasets/graphs/G9.txt,9,11,5,0,1,True,20,0
153,False,0.8285714285714286,example_datasets/datasets/D153.txt,153,example_datasets/graphs/G9.txt,9,11,5,0,3,True,20,0
154,False,0.9702970297029703,example_datasets/datasets/D154.txt,154,example_datasets/graphs/G9.txt,9,11,5,0,1,True,100,0
155,False,0.9588235294117647,example_datasets/datasets/D155.txt,155,example_datasets/graphs/G9.txt,9,11,5,0,3,True,100,0
156,False,0.55,example_datasets/datasets/D156.txt,156,example_datasets/graphs/G9.txt,9,11,20,0,1,True,5,0
157,False,0.425,example_datasets/datasets/D157.txt,157,example_datasets/graphs/G9.txt,9,11,20,0,3,True,5,0
158,False,0.8738095238095238,example_datasets/datasets/D158.txt,158,example_datasets/graphs/G9.txt,9,11,20,0,1,True,20,0
159,False,0.8285714285714286,example_datasets/datasets/D159.txt,159,example_datasets/graphs/G9.txt,9,11,20,0,3,True,20,0
160,False,0.9752475247524752,example_datasets/datasets/D160.txt,160,example_datasets/graphs/G9.txt,9,11,20,0,1,True,100,0
161,False,0.9647058823529412,example_datasets/datasets/D161.txt,161,example_datasets/graphs/G9.txt,9,11,20,0,3,True,100,0
162,False,0.5,example_datasets/datasets/D162.txt,162,example_datasets/graphs/G10.txt,10,11,1,1,1,True,5,0
163,False,0.5,example_datasets/datasets/D163.txt,163,example_datasets/graphs/G10.txt,10,11,1,1,3,True,5,0
164,False,0.8571428571428571,example_datasets/datasets/D164.txt,164,example_datasets/graphs/G10.txt,10,11,1,1,1,True,20,0
165,False,0.8571428571428571,example_datasets/datasets/D165.txt,165,example_datasets/graphs/G10.txt,10,11,1,1,3,True,20,0
166,False,0.9702970297029703,example_datasets/datasets/D166.txt,166,example_datasets/graphs/G10.txt,10,11,1,1,1,True,100,0
167,False,0.9705882352941176,example_datasets/datasets/D167.txt,167,example_datasets/graphs/G10.txt,10,11,1,1,3,True,100,0
168,False,0.3333333333333333,example_datasets/datasets/D168.txt,168,example_datasets/graphs/G10.txt,10,11,5,1,1,True,5,0
169,False,0.2,example_datasets/datasets/D169.txt,169,example_datasets/graphs/G10.txt,10,11,5,1,3,True,5,0
170,False,0.8571428571428571,example_datasets/datasets/D170.txt,170,example_datasets/graphs/G10.txt,10,11,5,1,1,True,20,0
171,False,0.8285714285714286,example_datasets/datasets/D171.txt,171,example_datasets/graphs/G10.txt,10,11,5,1,3,True,20,0
172,False,0.9683168316831683,example_datasets/datasets/D172.txt,172,example_datasets/graphs/G10.txt,10,11,5,1,1,True,100,0
173,False,0.9647058823529412,example_datasets/datasets/D173.txt,173,example_datasets/graphs/G10.txt,10,11,5,1,3,True,100,0
174,False,0.3416666666666667,example_datasets/datasets/D174.txt,174,example_datasets/graphs/G10.txt,10,11,20,1,1,True,5,0
175,False,0.2,example_datasets/datasets/D175.txt,175,example_datasets/graphs/G10.txt,10,11,20,1,3,True,5,0
176,False,0.8357142857142857,example_datasets/datasets/D176.txt,176,example_datasets/graphs/G10.txt,10,11,20,1,1,True,20,0
177,False,0.8071428571428572,example_datasets/datasets/D177.txt,177,example_datasets/graphs/G10.txt,10,11,20,1,3,True,20,0
178,False,0.9678217821782178,example_datasets/datasets/D178.txt,178,example_datasets/graphs/G10.txt,10,11,20,1,1,True,100,0
179,False,0.9602941176470589,example_datasets/datasets/D179.txt,179,example_datasets/graphs/G10.txt,10,11,20,1,3,True,100,0
180,False,0.16666666666666666,example_datasets/datasets/D180.txt,180,example_datasets/graphs/G11.txt,11,11,1,0,1,False,5,0
181,False,0.0,example_datasets/datasets/D181.txt,181,example_datasets/graphs/G11.txt,11,11,1,0,3,False,5,0
182,False,0.7619047619047619,example_datasets/datasets/D182.txt,182,example_datasets/graphs/G11.txt,11,11,1,0,1,False,20,0
183,False,0.7142857142857143,example_datasets/datasets/D183.txt,183,example_datasets/graphs/G11.txt,11,11,1,0,3,False,20,0
184,False,0.9504950495049505,example_datasets/datasets/D184.txt,184,example_datasets/graphs/G11.txt,11,11,1,0,1,False,100,0
185,False,0.9411764705882353,example_datasets/datasets/D185.txt,185,example_datasets/graphs/G11.txt,11,11,1,0,3,False,100,0
186,False,0.03333333333333333,example_datasets/datasets/D186.txt,186,example_datasets/graphs/G11.txt,11,11,5,0,1,False,5,0
187,False,0.0,example_datasets/datasets/D187.txt,187,example_datasets/graphs/G11.txt,11,11,5,0,3,False,5,0
188,False,0.4,example_datasets/datasets/D188.txt,188,example_datasets/graphs/G11.txt,11,11,5,0,1,False,20,0
189,False,0.34285714285714286,example_datasets/datasets/D189.txt,189,example_datasets/graphs/G11.txt,11,11,5,0,3,False,20,0
190,False,0.9207920792079208,example_datasets/datasets/D190.txt,190,example_datasets/graphs/G11.txt,11,11,5,0,1,False,100,0
191,False,0.9176470588235294,example_datasets/datasets/D191.txt,191,example_datasets/graphs/G11.txt,11,11,5,0,3,False,100,0
192,False,0.008333333333333333,example_datasets/datasets/D192.txt,192,example_datasets/graphs/G11.txt,11,11,20,0,1,False,5,0
193,False,0.0,example_datasets/datasets/D193.txt,193,example_datasets/graphs/G11.txt,11,11,20,0,3,False,5,0
194,False,0.5238095238095238,example_datasets/datasets/D194.txt,194,example_datasets/graphs/G11.txt,11,11,20,0,1,False,20,0
195,False,0.4714285714285714,example_datasets/datasets/D195.txt,195,example_datasets/graphs/G11.txt,11,11,20,0,3,False,20,0
196,False,0.9267326732673268,example_datasets/datasets/D196.txt,196,example_datasets/graphs/G11.txt,11,11,20,0,1,False,100,0
197,False,0.9176470588235294,example_datasets/datasets/D197.txt,197,example_datasets/graphs/G11.txt,11,11,20,0,3,False,100,0
198,False,0.0,example_datasets/datasets/D198.txt,198,example_datasets/graphs/G12.txt,12,11,1,1,1,False,5,0
199,False,0.0,example_datasets/datasets/D199.txt,199,example_datasets/graphs/G12.txt,12,11,1,1,3,False,5,0
200,False,0.7142857142857143,example_datasets/datasets/D200.txt,200,example_datasets/graphs/G12.txt,12,11,1,1,1,False,20,0
201,False,0.7142857142857143,example_datasets/datasets/D201.txt,201,example_datasets/graphs/G12.txt,12,11,1,1,3,False,20,0
202,False,0.9405940594059405,example_datasets/datasets/D202.txt,202,example_datasets/graphs/G12.txt,12,11,1,1,1,False,100,0
203,False,0.9411764705882353,example_datasets/datasets/D203.txt,203,example_datasets/graphs/G12.txt,12,11,1,1,3,False,100,0
204,False,0.0,example_datasets/datasets/D204.txt,204,example_datasets/graphs/G12.txt,12,11,5,1,1,False,5,0
205,False,0.0,example_datasets/datasets/D205.txt,205,example_datasets/graphs/G12.txt,12,11,5,1,3,False,5,0
206,False,0.580952380952381,example_datasets/datasets/D206.txt,206,example_datasets/graphs/G12.txt,12,11,5,1,1,False,20,0
207,False,0.5714285714285714,example_datasets/datasets/D207.txt,207,example_datasets/graphs/G12.txt,12,11,5,1,3,False,20,0
208,False,0.9148514851485149,example_datasets/datasets/D208.txt,208,example_datasets/graphs/G12.txt,12,11,5,1,1,False,100,0
209,False,0.9117647058823529,example_datasets/datasets/D209.txt,209,example_datasets/graphs/G12.txt,12,11,5,1,3,False,100,0
210,False,0.0,example_datasets/datasets/D210.txt,210,example_datasets/graphs/G12.txt,12,11,20,1,1,False,5,0
211,False,0.0,example_datasets/datasets/D211.txt,211,example_datasets/graphs/G12.txt,12,11,20,1,3,False,5,0
212,False,0.5380952380952381,example_datasets/datasets/D212.txt,212,example_datasets/graphs/G12.txt,12,11,20,1,1,False,20,0
213,False,0.4928571428571429,example_datasets/datasets/D213.txt,213,example_datasets/graphs/G12.txt,12,11,20,1,3,False,20,0
214,False,0.9074257425742575,example_datasets/datasets/D214.txt,214,example_datasets/graphs/G12.txt,12,11,20,1,1,False,100,0
215,False,0.9,example_datasets/datasets/D215.txt,215,example_datasets/graphs/G12.txt,12,11,20,1,3,False,100,0
216,False,0.3333333333333333,example_datasets/datasets/D216.txt,216,example_datasets/graphs/G13.txt,13,16,1,0,1,True,5,0
217,False,0.0,example_datasets/datasets/D217.txt,217,example_datasets/graphs/G13.txt,13,16,1,0,3,True,5,0
218,False,0.8095238095238095,example_datasets/datasets/D218.txt,218,example_datasets/graphs/G13.txt,13,16,1,0,1,True,20,0
219,False,0.7142857142857143,example_datasets/datasets/D219.txt,219,example_datasets/graphs/G13.txt,13,16,1,0,3,True,20,0
220,False,0.9603960396039604,example_datasets/datasets/D220.txt,220,example_datasets/graphs/G13.txt,13,16,1,0,1,True,100,0
221,False,0.9411764705882353,example_datasets/datasets/D221.txt,221,example_datasets/graphs/G13.txt,13,16,1,0,3,True,100,0
222,False,0.36666666666666664,example_datasets/datasets/D222.txt,222,example_datasets/graphs/G13.txt,13,16,5,0,1,True,5,0
223,False,0.1,example_datasets/datasets/D223.txt,223,example_datasets/graphs/G13.txt,13,16,5,0,3,True,5,0
224,False,0.8,example_datasets/datasets/D224.txt,224,example_datasets/graphs/G13.txt,13,16,5,0,1,True,20,0
225,False,0.7142857142857143,example_datasets/datasets/D225.txt,225,example_datasets/graphs/G13.txt,13,16,5,0,3,True,20,0
226,False,0.9623762376237623,example_datasets/datasets/D226.txt,226,example_datasets/graphs/G13.txt,13,16,5,0,1,True,100,0
227,False,0.9529411764705882,example_datasets/datasets/D227.txt,227,example_datasets/graphs/G13.txt,13,16,5,0,3,True,100,0
228,False,0.38333333333333336,example_datasets/datasets/D228.txt,228,example_datasets/graphs/G13.txt,13,16,20,0,1,True,5,0
229,False,0.2,example_datasets/datasets/D229.txt,229,example_datasets/graphs/G13.txt,13,16,20,0,3,True,5,0
230,False,0.8333333333333334,example_datasets/datasets/D230.txt,230,example_datasets/graphs/G13.txt,13,16,20,0,1,True,20,0
231,False,0.7642857142857142,example_datasets/datasets/D231.txt,231,example_datasets/graphs/G13.txt,13,16,20,0,3,True,20,0
232,False,0.9633663366336633,example_datasets/datasets/D232.txt,232,example_datasets/graphs/G13.txt,13,16,20,0,1,True,100,0
233,False,0.9544117647058824,example_datasets/datasets/D233.txt,233,example_datasets/graphs/G13.txt,13,16,20,0,3,True,100,0
234,False,0.16666666666666666,example_datasets/datasets/D234.txt,234,example_datasets/graphs/G14.txt,14,16,1,1,1,True,5,0
235,False,0.0,example_datasets/datasets/D235.txt,235,example_datasets/graphs/G14.txt,14,16,1,1,3,True,5,0
236,False,0.7619047619047619,example_datasets/datasets/D236.txt,236,example_datasets/graphs/G14.txt,14,16,1,1,1,True,20,0
237,False,0.7142857142857143,example_datasets/datasets/D237.txt,237,example_datasets/graphs/G14.txt,14,16,1,1,3,True,20,0
238,False,0.9504950495049505,example_datasets/datasets/D238.txt,238,example_datasets/graphs/G14.txt,14,16,1,1,1,True,100,0
239,False,0.9411764705882353,example_datasets/datasets/D239.txt,239,example_datasets/graphs/G14.txt,14,16,1,1,3,True,100,0
240,False,0.36666666666666664,example_datasets/datasets/D240.txt,240,example_datasets/graphs/G14.txt,14,16,5,1,1,True,5,0
241,False,0.1,example_datasets/datasets/D241.txt,241,example_datasets/graphs/G14.txt,14,16,5,1,3,True,5,0
242,False,0.8285714285714286,example_datasets/datasets/D242.txt,242,example_datasets/graphs/G14.txt,14,16,5,1,1,True,20,0
243,False,0.7714285714285715,example_datasets/datasets/D243.txt,243,example_datasets/graphs/G14.txt,14,16,5,1,3,True,20,0
244,False,0.9603960396039604,example_datasets/datasets/D244.txt,244,example_datasets/graphs/G14.txt,14,16,5,1,1,True,100,0
245,False,0.9470588235294117,example_datasets/datasets/D245.txt,245,example_datasets/graphs/G14.txt,14,16,5,1,3,True,100,0
246,False,0.4083333333333333,example_datasets/datasets/D246.txt,246,example_datasets/graphs/G14.txt,14,16,20,1,1,True,5,0
247,False,0.15,example_datasets/datasets/D247.txt,247,example_datasets/graphs/G14.txt,14,16,20,1,3,True,5,0
248,False,0.8119047619047619,example_datasets/datasets/D248.txt,248,example_datasets/graphs/G14.txt,14,16,20,1,1,True,20,0
249,False,0.7357142857142858,example_datasets/datasets/D249.txt,249,example_datasets/graphs/G14.txt,14,16,20,1,3,True,20,0
250,False,0.9613861386138614,example_datasets/datasets/D250.txt,250,example_datasets/graphs/G14.txt,14,16,20,1,1,True,100,0
251,False,0.9455882352941176,example_datasets/datasets/D251.txt,251,example_datasets/graphs/G14.txt,14,16,20,1,3,True,100,0
252,False,0.0,example_datasets/datasets/D252.txt,252,example_datasets/graphs/G15.txt,15,16,1,0,1,False,5,0
253,False,0.0,example_datasets/datasets/D253.txt,253,example_datasets/graphs/G15.txt,15,16,1,0,3,False,5,0
254,False,0.3333333333333333,example_datasets/datasets/D254.txt,254,example_datasets/graphs/G15.txt,15,16,1,0,1,False,20,0
255,False,0.2857142857142857,example_datasets/datasets/D255.txt,255,example_datasets/graphs/G15.txt,15,16,1,0,3,False,20,0
256,False,0.8613861386138614,example_datasets/datasets/D256.txt,256,example_datasets/graphs/G15.txt,15,16,1,0,1,False,100,0
257,False,0.8529411764705882,example_datasets/datasets/D257.txt,257,example_datasets/graphs/G15.txt,15,16,1,0,3,False,100,0
258,False,0.0,example_datasets/datasets/D258.txt,258,example_datasets/graphs/G15.txt,15,16,5,0,1,False,5,0
259,False,0.0,example_datasets/datasets/D259.txt,259,example_datasets/graphs/G15.txt,15,16,5,0,3,False,5,0
260,False,0.22857142857142856,example_datasets/datasets/D260.txt,260,example_datasets/graphs/G15.txt,15,16,5,0,1,False,20,0
261,False,0.17142857142857143,example_datasets/datasets/D261.txt,261,example_datasets/graphs/G15.txt,15,16,5,0,3,False,20,0
262,False,0.8514851485148515,example_datasets/datasets/D262.txt,262,example_datasets/graphs/G15.txt,15,16,5,0,1,False,100,0
263,False,0.8411764705882353,example_datasets/datasets/D263.txt,263,example_datasets/graphs/G15.txt,15,16,5,0,3,False,100,0
264,False,0.0,example_datasets/datasets/D264.txt,264,example_datasets/graphs/G15.txt,15,16,20,0,1,False,5,0
265,False,0.0,example_datasets/datasets/D265.txt,265,example_datasets/graphs/G15.txt,15,16,20,0,3,False,5,0
266,False,0.1523809523809524,example_datasets/datasets/D266.txt,266,example_datasets/graphs/G15.txt,15,16,20,0,1,False,20,0
267,False,0.12142857142857143,example_datasets/datasets/D267.txt,267,example_datasets/graphs/G15.txt,15,16,20,0,3,False,20,0
268,False,0.8212871287128712,example_datasets/datasets/D268.txt,268,example_datasets/graphs/G15.txt,15,16,20,0,1,False,100,0
269,False,0.8102941176470588,example_datasets/datasets/D269.txt,269,example_datasets/graphs/G15.txt,15,16,20,0,3,False,100,0
270,False,0.0,example_datasets/datasets/D270.txt,270,example_datasets/graphs/G16.txt,16,16,1,1,1,False,5,0
271,False,0.0,example_datasets/datasets/D271.txt,271,example_datasets/graphs/G16.txt,16,16,1,1,3,False,5,0
272,False,0.42857142857142855,example_datasets/datasets/D272.txt,272,example_datasets/graphs/G16.txt,16,16,1,1,1,False,20,0
273,False,0.42857142857142855,example_datasets/datasets/D273.txt,273,example_datasets/graphs/G16.txt,16,16,1,1,3,False,20,0
274,False,0.8811881188118812,example_datasets/datasets/D274.txt,274,example_datasets/graphs/G16.txt,16,16,1,1,1,False,100,0
275,False,0.8823529411764706,example_datasets/datasets/D275.txt,275,example_datasets/graphs/G16.txt,16,16,1,1,3,False,100,0
276,False,0.0,example_datasets/datasets/D276.txt,276,example_datasets/graphs/G16.txt,16,16,5,1,1,False,5,0
277,False,0.0,example_datasets/datasets/D277.txt,277,example_datasets/graphs/G16.txt,16,16,5,1,3,False,5,0
278,False,0.3904761904761905,example_datasets/datasets/D278.txt,278,example_datasets/graphs/G16.txt,16,16,5,1,1,False,20,0
279,False,0.37142857142857144,example_datasets/datasets/D279.txt,279,example_datasets/graphs/G16.txt,16,16,5,1,3,False,20,0
280,False,0.8534653465346534,example_datasets/datasets/D280.txt,280,example_datasets/graphs/G16.txt,16,16,5,1,1,False,100,0
281,False,0.8470588235294118,example_datasets/datasets/D281.txt,281,example_datasets/graphs/G16.txt,16,16,5,1,3,False,100,0
282,False,0.0,example_datasets/datasets/D282.txt,282,example_datasets/graphs/G16.txt,16,16,20,1,1,False,5,0
283,False,0.0,example_datasets/datasets/D283.txt,283,example_datasets/graphs/G16.txt,16,16,20,1,3,False,5,0
284,False,0.24047619047619048,example_datasets/datasets/D284.txt,284,example_datasets/graphs/G16.txt,16,16,20,1,1,False,20,0
285,False,0.20714285714285716,example_datasets/datasets/D285.txt,285,example_datasets/graphs/G16.txt,16,16,20,1,3,False,20,0
286,False,0.8693069306930693,example_datasets/datasets/D286.txt,286,example_datasets/graphs/G16.txt,16,16,20,1,1,False,100,0
287,False,0.8602941176470589,example_datasets/datasets/D287.txt,287,example_datasets/graphs/G16.txt,16,16,20,1,3,False,100,0
